ID,label,comment,min,max,mean,std,skew,C
0,Normal,Komentar,-10186.23,14230.35,19.23,4778.77,0.93,3
1,None,None,-41554.68,59209.56,32.58,17970.47,1.17,0
2,None,None,-24144.23,32462.06,-44.4,14080.68,0.69,4
3,None,None,-12559.75,14798.23,79.06,3200.66,0.31,1
4,None,None,-24537.65,41381.04,-103.97,16226.42,0.93,2
5,None,None,-17747.59,30473.3,15.51,11932.56,1.02,4
6,None,None,-12473.77,18184.1,32.55,6736.46,0.89,0
7,None,None,-20431.98,31201.6,-17.16,10186.43,0.85,0
8,None,None,-14827.73,19713.61,-9.5,7272.43,0.86,4
9,None,None,-17184.31,29994.81,-29.29,9666.39,1.28,0
10,None,None,-10807.67,13254.37,-5.45,3685.89,0.34,1
11,None,None,-21881.59,37221.37,24.65,12739.72,1.06,0
12,None,None,-26495.09,32092.92,-4.48,13719.78,0.54,2
13,None,None,-19685.24,30641.74,6.67,11685.82,0.93,4
14,None,None,-11273.96,16196.74,-40.29,6202.81,0.93,3
15,None,None,-33253.54,57907.0,37.85,19121.9,1.03,4
16,None,None,-27142.38,34915.95,47.72,12340.22,0.87,0
17,None,None,-17385.7,33466.06,68.42,9094.87,1.19,0
18,None,None,-22276.63,38533.16,9.88,12951.57,0.99,4
19,None,None,-25684.93,38860.18,12.23,13977.37,0.87,4
20,None,None,-17880.02,14188.52,-9.08,3599.68,-0.32,1
21,None,None,-20785.34,19896.5,30.07,4685.79,0.39,0
22,None,None,-17909.29,22248.18,66.04,9480.4,0.53,4
23,None,None,-12451.44,13196.72,49.36,3780.18,0.64,1
24,None,None,-23046.05,36030.15,27.88,11433.93,1.03,0
25,None,None,-23690.83,38064.7,28.89,15706.32,0.82,2
26,None,None,-12002.92,14081.8,11.56,3929.93,0.49,3
27,None,None,-24565.75,26838.04,-43.45,9809.05,0.53,4
28,None,None,-10049.1,13548.93,12.03,4049.7,0.76,3
29,None,None,-15079.17,19471.96,-3.71,7402.54,0.73,4
30,None,None,-25473.93,40728.67,6.07,14693.57,1.13,3
31,None,None,-15321.07,23452.04,-67.01,8986.05,0.88,4
32,None,None,-21439.95,37863.29,-8.31,4236.96,2.9,1
33,None,None,-13666.58,17679.05,89.45,7331.92,0.65,4
34,None,None,-21007.92,30676.32,50.97,12700.36,0.87,2
35,None,None,-28297.6,38831.69,-24.96,14095.56,0.66,3
36,None,None,-36625.34,52780.77,-98.69,19241.36,0.73,4
37,None,None,-17111.12,21042.43,-43.34,8342.05,0.73,3
38,None,None,-22468.81,28567.85,38.6,12051.82,0.7,4
39,None,None,-26209.7,43400.11,83.82,15685.81,1.14,4
40,None,None,-25339.45,35524.35,19.45,11317.29,1.05,0
41,None,None,-22462.33,31885.8,60.22,12177.58,0.92,4
42,None,None,-26899.2,48897.31,39.31,17825.44,1.21,4
43,None,None,-21324.15,28265.18,-0.76,8317.46,1.01,0
44,None,None,-11646.77,16105.55,53.43,6822.93,0.76,4
45,None,None,-26514.73,38139.93,23.98,13390.67,0.99,0
46,None,None,-23053.3,29244.88,-38.97,10781.37,1.05,4
47,None,None,-16564.04,28333.76,-23.5,9843.98,1.1,4
48,None,None,-16319.78,20133.69,32.3,8862.45,0.73,4
49,None,None,-23665.07,36369.68,-58.73,12871.47,0.85,4
50,None,None,-17475.3,25582.46,43.14,10886.46,0.77,2
51,None,None,-10449.53,12597.88,31.62,3519.47,0.48,0
52,None,None,-15971.43,22847.77,36.25,7117.4,1.11,0
53,None,None,-17252.18,26376.03,-23.81,8818.09,1.14,0
54,None,None,-15978.7,21354.78,-81.6,8618.35,0.85,2
55,None,None,-14166.01,16559.96,22.45,7365.66,0.38,2
56,None,None,-26928.82,41306.21,41.23,13500.37,1.13,0
57,None,None,-13262.33,17884.61,-4.81,5169.24,0.93,3
58,None,None,-10623.25,20211.68,34.52,5638.68,1.39,0
59,None,None,-18705.35,27084.63,-28.68,8860.65,0.99,0
60,None,None,-19056.4,28421.94,-10.69,11238.69,0.85,2
61,None,None,-21681.4,32257.04,-8.58,11314.68,1.0,3
62,None,None,-30496.61,48892.44,-38.91,14252.29,1.33,3
63,None,None,-17186.76,21800.35,18.54,7293.67,0.77,0
64,None,None,-16735.16,20091.61,34.41,7055.85,0.93,4
65,None,None,-30115.69,50622.03,4.23,16699.97,1.17,0
66,None,None,-26013.65,50026.92,6.01,11515.79,1.06,0
67,None,None,-18649.58,25457.78,13.85,8800.1,0.71,0
68,None,None,-11262.42,16667.19,0.02,1960.49,1.49,1
69,None,None,-12999.88,20820.47,21.11,5915.83,0.75,0
70,None,None,-23441.65,33396.82,-24.16,12768.27,0.71,4
71,None,None,-22447.59,37092.84,-102.49,13015.93,1.16,3
72,None,None,-25029.97,36574.6,47.57,13427.2,0.91,4
73,None,None,-19088.71,27343.1,18.64,9169.45,0.99,0
74,None,None,-16601.83,22448.67,16.32,8187.15,0.59,4
75,None,None,-14603.75,19384.56,24.51,6600.82,0.89,0
76,None,None,-9849.7,13214.92,-2.04,4239.71,0.81,3
77,None,None,-5904.21,8552.33,20.14,1781.97,0.52,1
78,None,None,-17326.7,22276.66,-5.88,7807.26,0.75,0
79,None,None,-23067.43,34809.15,-32.92,12275.92,0.9,4
80,None,None,-25661.35,42022.49,25.55,11975.01,1.22,0
81,None,None,-20254.84,26212.16,1.15,10013.94,0.77,4
82,None,None,-33033.18,46445.5,-26.23,12937.06,1.18,1
83,None,None,-26145.84,32753.91,129.14,14584.46,0.6,2
84,None,None,-17952.38,24688.25,36.05,9689.78,0.87,4
85,None,None,-33414.96,52487.46,-25.9,16528.82,1.2,0
86,None,None,-20294.06,31490.36,25.19,12214.8,0.87,4
87,None,None,-25618.96,38502.95,-68.01,17039.07,0.52,2
88,None,None,-25619.26,38704.35,19.68,11043.78,0.64,1
89,None,None,-13980.37,15302.32,45.74,6037.46,0.52,3
90,None,None,-28300.06,45056.87,17.19,13664.52,1.14,0
91,None,None,-28045.73,42350.5,-0.26,15786.8,1.04,4
92,None,None,-27464.95,46662.45,110.59,14334.92,1.26,3
93,None,None,-13038.07,22402.28,-5.53,7570.69,0.91,4
94,None,None,-23943.89,34357.51,51.45,12700.63,0.92,0
95,None,None,-13779.75,18400.21,35.08,6742.04,0.84,4
96,None,None,-22561.33,28848.3,-22.39,10896.67,0.71,4
97,None,None,-34701.52,44024.79,118.84,18419.36,0.78,2
98,None,None,-11383.29,18947.65,30.18,5777.13,1.28,0
99,None,None,-24461.48,34897.25,-25.86,11451.71,0.99,3
